insert_i,recall
1157,0.860000
1158,0.800000
1159,0.830000
1160,0.900000
1161,0.850000
1162,0.760000
1163,0.750000
1164,0.860000
1165,0.790000
1166,0.850000
1167,0.820000
1168,0.870000
1169,0.860000
1170,0.710000
1171,0.880000
1172,0.790000
1173,0.850000
1174,0.790000
1175,0.840000
1176,0.800000
1177,0.850000
1178,0.900000
1179,0.840000
1180,0.830000
1181,0.880000
1182,0.820000
1183,0.870000
1184,0.700000
1185,0.900000
1186,0.870000
1187,0.880000
1188,0.830000
1189,0.870000
1190,0.760000
1191,0.850000
1192,0.880000
1193,0.700000
1194,0.880000
1195,0.830000
1196,0.810000
1197,0.860000
1198,0.880000
1199,0.690000
1200,0.800000
1201,0.880000
1202,0.780000
1203,0.740000
1204,0.780000
1205,0.770000
1206,0.720000
1207,0.820000
1208,0.800000
1209,0.730000
1210,0.790000
1211,0.760000
1212,0.800000
1213,0.770000
1214,0.820000
1215,0.810000
1216,0.770000
1217,0.730000
1218,0.880000
1219,0.780000
1220,0.820000
1221,0.850000
1222,0.840000
1223,0.780000
1224,0.860000
1225,0.880000
1226,0.810000
1227,0.760000
1228,0.850000
1229,0.850000
1230,0.810000
1231,0.790000
1232,0.820000
1233,0.820000
1234,0.750000
1235,0.890000
1236,0.860000
1237,0.870000
1238,0.810000
1239,0.820000
1240,0.820000
1241,0.820000
1242,0.820000
1243,0.880000
1244,0.850000
1245,0.780000
1246,0.840000
1247,0.900000
1248,0.720000
1249,0.820000
1250,0.740000
1251,0.820000
1252,0.740000
1253,0.920000
1254,0.810000
1255,0.840000
1256,0.760000
1257,0.770000
1258,0.870000
1259,0.800000
1260,0.800000
1261,0.770000
1262,0.830000
1263,0.770000
1264,0.870000
1265,0.850000
1266,0.880000
1267,0.780000
1268,0.880000
1269,0.780000
1270,0.830000
1271,0.820000
1272,0.820000
1273,0.730000
1274,0.790000
1275,0.860000
1276,0.760000
1277,0.810000
1278,0.820000
1279,0.750000
1280,0.840000
1281,0.830000
1282,0.830000
1283,0.800000
1284,0.790000
1285,0.850000
1286,0.840000
1287,0.780000
1288,0.830000
1289,0.820000
1290,0.850000
1291,0.850000
1292,0.900000
1293,0.750000
1294,0.830000
1295,0.880000
1296,0.890000
1297,0.810000
1298,0.870000
1299,0.910000
1300,0.760000
1301,0.820000
1302,0.910000
1303,0.750000
1304,0.830000
1305,0.730000
1306,0.790000
1307,0.760000
1308,0.750000
1309,0.650000
1310,0.810000
1311,0.790000
1312,0.850000
1313,0.910000
1314,0.840000
1315,0.850000
1316,0.810000
1317,0.760000
1318,0.840000
1319,0.800000
1320,0.770000
1321,0.730000
1322,0.780000
1323,0.810000
1324,0.800000
1325,0.770000
1326,0.890000
1327,0.790000
1328,0.820000
1329,0.840000
1330,0.710000
1331,0.860000
1332,0.840000
1333,0.650000
1334,0.770000
1335,0.760000
1336,0.780000
1337,0.860000
1338,0.730000
1339,0.800000
1340,0.730000
1341,0.850000
1342,0.900000
1343,0.830000
1344,0.830000
1345,0.820000
1346,0.760000
1347,0.900000
1348,0.860000
1349,0.720000
1350,0.880000
1351,0.740000
1352,0.740000
1353,0.860000
1354,0.860000
1355,0.770000
1356,0.850000
1357,0.790000
1358,0.760000
1359,0.860000
1360,0.840000
1361,0.850000
1362,0.850000
1363,0.710000
1364,0.890000
1365,0.900000
1366,0.770000
1367,0.790000
1368,0.790000
1369,0.870000
1370,0.760000
1371,0.800000
1372,0.720000
1373,0.800000
1374,0.810000
1375,0.720000
1376,0.870000
1377,0.810000
1378,0.740000
1379,0.880000
1380,0.840000
1381,0.830000
1382,0.800000
1383,0.790000
1384,0.810000
1385,0.860000
1386,0.790000
1387,0.840000
1388,0.740000
1389,0.700000
1390,0.810000
1391,0.840000
1392,0.870000
1393,0.830000
1394,0.720000
1395,0.820000
1396,0.760000
1397,0.800000
1398,0.920000
1399,0.860000
1400,0.800000
1401,0.760000
1402,0.860000
1403,0.690000
1404,0.690000
1405,0.840000
1406,0.750000
