worker_type,worker_id,completed_ops,target_ops,wall_seconds,avg_latency_seconds,p95_latency_seconds,max_latency_seconds
writer,23,10000,10000,437.561167,0.043751,0.214518,0.798633
writer,24,10000,10000,437.063623,0.043701,0.217356,1.091930
writer,25,10000,10000,438.186987,0.043813,0.216422,0.842909
writer,26,10000,10000,434.396420,0.043434,0.213841,0.835831
writer,27,10000,10000,438.216145,0.043816,0.216414,0.948735
writer,28,10000,10000,437.362190,0.043731,0.217018,0.970825
writer,29,10000,10000,435.388430,0.043533,0.213351,1.243708
writer,30,10000,10000,438.861080,0.043881,0.213068,0.981654
writer,31,10000,10000,438.721470,0.043867,0.215259,0.761538
writer,32,10000,10000,437.024260,0.043697,0.215438,0.772703
writer,33,10000,10000,438.981331,0.043893,0.214555,0.778466
writer,34,10000,10000,436.233172,0.043618,0.215292,0.899656
writer,35,10000,10000,438.448124,0.043839,0.215889,1.146381
writer,36,10000,10000,437.290046,0.043724,0.214528,0.854801
writer,37,10000,10000,438.082229,0.043803,0.216044,1.006108
writer,38,10000,10000,436.355429,0.043630,0.213319,0.709779
writer,39,10000,10000,438.046427,0.043799,0.212766,1.056601
writer,40,10000,10000,439.933390,0.043988,0.214685,1.305757
writer,41,10000,10000,439.327873,0.043927,0.215436,0.894340
writer,42,10000,10000,437.550435,0.043750,0.215700,0.907635
writer,43,10000,10000,436.407633,0.043635,0.216749,0.778454
writer,44,10000,10000,436.227993,0.043617,0.217102,0.893382
writer,45,10000,10000,437.175940,0.043712,0.213594,1.068905
writer,46,10000,10000,439.174634,0.043912,0.215245,0.869955
writer,47,10000,10000,437.193061,0.043714,0.216731,0.876013
writer,48,10000,10000,435.642547,0.043559,0.216672,0.868770
writer,49,10000,10000,436.731119,0.043668,0.213171,1.011340
writer,50,10000,10000,437.340227,0.043729,0.213516,0.960755
writer,51,10000,10000,436.771096,0.043672,0.213150,1.128395
writer,52,10000,10000,438.558078,0.043850,0.213337,1.050919
writer,53,10000,10000,437.333129,0.043728,0.217162,1.061004
writer,54,10000,10000,436.439000,0.043639,0.214878,0.772763
writer,55,10000,10000,437.262819,0.043721,0.216942,0.962412
writer,56,10000,10000,437.913141,0.043786,0.215927,0.825105
writer,57,10000,10000,439.229769,0.043918,0.213679,0.878663
writer,58,10000,10000,436.289768,0.043624,0.218246,0.830477
writer,59,10000,10000,436.144126,0.043609,0.214560,0.838193
writer,60,10000,10000,433.801028,0.043375,0.215488,0.771628
writer,61,10000,10000,438.114879,0.043806,0.214345,0.909671
writer,62,10000,10000,437.486985,0.043743,0.215743,1.173955
writer,63,10000,10000,434.193948,0.043414,0.215744,0.773917
writer,64,10000,10000,437.858317,0.043780,0.217210,0.762950
writer,65,10000,10000,436.188462,0.043613,0.215234,0.923009
writer,66,10000,10000,437.564500,0.043751,0.213732,0.917130
writer,67,10000,10000,439.319827,0.043927,0.212636,1.139298
writer,68,10000,10000,436.749447,0.043670,0.213727,1.124932
writer,69,10000,10000,438.241369,0.043819,0.215455,0.778911
writer,70,10000,10000,439.118599,0.043906,0.214798,1.008391
writer,71,10000,10000,437.710686,0.043766,0.214069,0.970305
writer,72,10000,10000,436.152916,0.043610,0.213221,0.993762
writer,73,10000,10000,438.022475,0.043797,0.216548,0.777453
writer,74,10000,10000,437.872993,0.043782,0.214473,0.982207
